Index,File,Id,Label
0,39__19_07_13_lanchaMotora_Entra_chunk_0.wav,80,dredger
1,39__19_07_13_lanchaMotora_Entra_chunk_1.wav,80,dredger
2,39__19_07_13_lanchaMotora_Entra_chunk_2.wav,80,dredger
3,39__19_07_13_lanchaMotora_Entra_chunk_3.wav,80,dredger
4,39__19_07_13_lanchaMotora_Entra_chunk_4.wav,80,dredger
5,39__19_07_13_lanchaMotora_Entra_chunk_5.wav,80,dredger
6,39__19_07_13_lanchaMotora_Entra_chunk_6.wav,80,dredger
7,39__19_07_13_lanchaMotora_Entra_chunk_7.wav,80,dredger
8,39__19_07_13_lanchaMotora_Entra_chunk_8.wav,80,dredger
9,39__19_07_13_lanchaMotora_Entra_chunk_9.wav,80,dredger
10,39__19_07_13_lanchaMotora_Entra_chunk_10.wav,80,dredger
11,39__19_07_13_lanchaMotora_Entra_chunk_11.wav,80,dredger
12,39__19_07_13_lanchaMotora_Entra_chunk_12.wav,80,dredger
13,39__19_07_13_lanchaMotora_Entra_chunk_13.wav,80,dredger
14,39__19_07_13_lanchaMotora_Entra_chunk_14.wav,80,dredger
15,39__19_07_13_lanchaMotora_Entra_chunk_15.wav,80,dredger
16,39__19_07_13_lanchaMotora_Entra_chunk_16.wav,80,dredger
17,39__19_07_13_lanchaMotora_Entra_chunk_17.wav,80,dredger
18,39__19_07_13_lanchaMotora_Entra_chunk_18.wav,80,dredger
19,39__19_07_13_lanchaMotora_Entra_chunk_19.wav,80,dredger
20,39__19_07_13_lanchaMotora_Entra_chunk_20.wav,80,dredger
21,39__19_07_13_lanchaMotora_Entra_chunk_21.wav,80,dredger
22,39__19_07_13_lanchaMotora_Entra_chunk_22.wav,80,dredger
23,39__19_07_13_lanchaMotora_Entra_chunk_23.wav,80,dredger
24,39__19_07_13_lanchaMotora_Entra_chunk_24.wav,80,dredger
25,39__19_07_13_lanchaMotora_Entra_chunk_25.wav,80,dredger
26,39__19_07_13_lanchaMotora_Entra_chunk_26.wav,80,dredger
27,39__19_07_13_lanchaMotora_Entra_chunk_27.wav,80,dredger
28,39__19_07_13_lanchaMotora_Entra_chunk_28.wav,80,dredger
29,39__19_07_13_lanchaMotora_Entra_chunk_29.wav,80,dredger
30,39__19_07_13_lanchaMotora_Entra_chunk_30.wav,80,dredger
31,39__19_07_13_lanchaMotora_Entra_chunk_31.wav,80,dredger
32,39__19_07_13_lanchaMotora_Entra_chunk_32.wav,80,dredger
33,39__19_07_13_lanchaMotora_Entra_chunk_33.wav,80,dredger
34,39__19_07_13_lanchaMotora_Entra_chunk_34.wav,80,dredger
35,39__19_07_13_lanchaMotora_Entra_chunk_35.wav,80,dredger
36,39__19_07_13_lanchaMotora_Entra_chunk_36.wav,80,dredger
37,39__19_07_13_lanchaMotora_Entra_chunk_37.wav,80,dredger
38,39__19_07_13_lanchaMotora_Entra_chunk_38.wav,80,dredger
39,39__19_07_13_lanchaMotora_Entra_chunk_39.wav,80,dredger
40,39__19_07_13_lanchaMotora_Entra_chunk_40.wav,80,dredger
41,39__19_07_13_lanchaMotora_Entra_chunk_41.wav,80,dredger
42,39__19_07_13_lanchaMotora_Entra_chunk_42.wav,80,dredger
